iter	Logloss
0	0.6865933049
1	0.6789659212
2	0.6734278958
3	0.6662332184
4	0.6595990803
5	0.6534678298
6	0.6475949685
7	0.6422102874
8	0.6377263208
9	0.6333372324
10	0.6289214621
11	0.6246642036
12	0.6205029484
13	0.616419189
14	0.6131603763
15	0.6102583573
16	0.6057150557
17	0.6017937131
18	0.5982552917
19	0.5953114692
20	0.5917245165
21	0.5889535348
22	0.5860492101
23	0.5832115607
24	0.5808552053
25	0.5783275666
26	0.5749530481
27	0.5723649017
28	0.5698777976
29	0.5671334127
30	0.5645128677
31	0.5618282699
32	0.5595494761
33	0.5571750777
34	0.5550664961
35	0.5529401365
36	0.5511365928
37	0.5492310791
38	0.5468227974
39	0.544989785
40	0.5432355576
41	0.541442285
42	0.5400398377
43	0.5385447692
44	0.5371117
45	0.5356454208
46	0.5341994683
47	0.5327885805
48	0.5316081687
49	0.530117861
50	0.5289692127
51	0.527868803
52	0.5267320301
53	0.5254077643
54	0.5243228808
55	0.5233442199
56	0.5219145914
57	0.5208485411
58	0.5194238996
59	0.5186115059
60	0.5178581892
61	0.516405464
62	0.5152294663
63	0.5142284192
64	0.5136266838
65	0.5127092223
66	0.5114890287
67	0.5106427055
68	0.5098641678
69	0.5089674094
70	0.5081562188
71	0.5073069075
72	0.5064239009
73	0.5056325278
74	0.5048280311
75	0.5043854084
76	0.5040932085
77	0.5033137306
78	0.5023659835
79	0.5015406004
80	0.5009182191
81	0.5001586245
82	0.4995830222
83	0.4989009868
84	0.4979598167
85	0.4970536493
86	0.4957172624
87	0.4952081698
88	0.4946337215
89	0.494059702
90	0.4934422665
91	0.4926140317
92	0.4918198248
93	0.4910859651
94	0.490389933
95	0.4896172396
96	0.4890830013
97	0.4887661546
98	0.4877598786
99	0.4876763758
100	0.4867335168
101	0.4866021928
102	0.4861547215
103	0.4854568062
104	0.484900835
105	0.4842906645
106	0.4837238207
107	0.4829080367
108	0.4824851862
109	0.4818367283
110	0.4814109875
111	0.481080921
112	0.4805845104
113	0.4800214272
114	0.4791184747
115	0.4786016617
116	0.4778784476
117	0.4772377897
118	0.4769372936
119	0.4762710883
120	0.4758142274
121	0.4752454856
122	0.474819517
123	0.4743572287
124	0.4738329561
125	0.4729664029
126	0.4726416258
127	0.4722464865
128	0.4719435782
129	0.4712321832
130	0.4707876407
131	0.4698734942
132	0.4690486473
133	0.4686246946
134	0.4682966031
135	0.4681587682
136	0.4676858024
137	0.4672277599
138	0.4669696057
139	0.4665359171
140	0.4657883766
141	0.4651630232
142	0.464566533
143	0.4640809293
144	0.4635262194
145	0.4628077135
146	0.4621180898
147	0.4611132165
148	0.4604836291
149	0.459958916
