iter	Passed	Remaining
0	135	20216
1	136	10096
2	137	6718
3	137	5028
4	138	4014
5	139	3338
6	139	2854
7	140	2492
8	140	2206
9	141	1980
10	142	1795
11	142	1641
12	143	1510
13	144	1399
14	144	1300
15	144	1212
16	145	1135
17	145	1069
18	146	1009
19	147	956
20	147	908
21	148	863
22	149	823
23	149	786
24	150	752
25	151	720
26	151	691
27	152	663
28	153	638
29	153	614
30	154	592
31	154	571
32	155	551
33	156	533
34	156	515
35	157	499
36	158	483
37	158	468
38	159	453
39	160	440
40	160	427
41	161	415
42	162	403
43	162	391
44	163	381
45	163	370
46	164	360
47	165	351
48	165	342
49	166	333
50	167	324
51	167	316
52	168	308
53	169	300
54	169	293
55	170	286
56	171	279
57	171	272
58	172	266
59	173	259
60	173	253
61	174	247
62	175	241
63	175	236
64	176	230
65	176	225
66	177	220
67	178	215
68	178	210
69	179	205
70	180	200
71	181	196
72	181	191
73	182	187
74	182	182
75	183	178
76	183	174
77	184	170
78	185	166
79	185	162
80	186	158
81	187	155
82	187	151
83	188	148
84	189	144
85	190	141
86	190	138
87	191	134
88	192	131
89	192	128
90	193	125
91	193	122
92	194	119
93	195	116
94	196	113
95	196	110
96	197	107
97	198	105
98	198	102
99	199	99
100	199	96
101	200	94
102	200	91
103	201	89
104	202	86
105	202	84
106	203	81
107	204	79
108	204	77
109	205	74
110	206	72
111	207	70
112	207	68
113	208	65
114	209	63
115	209	61
116	210	59
117	211	57
118	212	55
119	212	53
120	213	51
121	214	49
122	214	47
123	215	45
124	216	43
125	217	41
126	217	39
127	218	37
128	219	35
129	220	33
130	220	32
131	221	30
132	222	28
133	222	26
134	223	24
135	223	23
136	224	21
137	225	19
138	225	17
139	226	16
140	227	14
141	228	12
142	228	11
143	229	9
144	230	7
145	231	6
146	231	4
147	232	3
148	233	1
149	233	0
